external_id,Gender,overall_risk_flag,payment method,avg_price,City,Trip_ID,Trip_Time,Fare,Trip_Duration_min,Distance_km,Pickup_Zone,Dropoff_Zone,Peak,IsValidTrip,TripHour,TripMonth,TripWeekday,IsWeekend,InvalidReason
986605,Female,Medium Risk,Cash,0.2291,Amman,1,2/1/2024 6:16,2.46,26,10.74,Downtown,Mall Area,0,1,6,2,4,0,
928069,Male,High Risk,Credit Card,0.1766,Irbid,2,4/30/2024 20:34,2.35,45,13.31,University Area,Residential,1,1,20,4,2,0,
931635,Male,High Risk,Credit Card,0.1766,Karak,3,3/9/2024 19:01,1.75,23,9.91,Hospital Area,City Center,0,1,19,3,6,1,
922317,Female,Medium Risk,Wallet,0.1812,Irbid,4,1/18/2024 11:15,1.31,19,7.23,University Area,University Area,0,1,11,1,4,0,
970005,Male,High Risk,Credit Card,0.0941,Mafraq,5,2/1/2024 0:41,0.95,19,10.1,Border Road,City Center,0,1,0,2,4,0,
916299,Male,Medium Risk,Credit Card,0.2333,Amman,6,3/3/2024 20:55,2.55,38,10.93,Mall Area,Mall Area,1,1,20,3,7,0,
995103,Male,Medium Risk,Credit Card,0.3401,Aqaba,7,5/25/2024 18:56,5.87,37,17.26,Port Area,City Center,1,1,18,5,6,1,
980313,Female,Medium Risk,Wallet,0.2107,Irbid,8,3/13/2024 13:17,1.65,23,7.83,Bus Station,City Center,0,1,13,3,3,0,
946300,Female,Medium Risk,Wallet,0.2691,Irbid,9,2/5/2024 20:04,1.97,28,7.32,Residential,University Area,1,1,20,2,1,0,
904284,Male,Medium Risk,Credit Card,0.4826,Amman,10,4/23/2024 18:21,7.63,35,15.81,Business District,Mall Area,1,1,18,4,2,0,
979729,Female,High Risk,Cash,0.2637,Irbid,11,3/28/2024 7:07,1.68,27,6.37,University Area,Residential,1,1,7,3,4,0,
949055,Female,High Risk,Credit Card,0.2035,Amman,12,4/11/2024 21:54,2.44,59,11.99,Airport,Business District,1,1,21,4,4,0,
952341,Male,High Risk,Cash,0.1432,Amman,13,4/1/2024 16:05,3.85,106,26.89,Airport,Downtown,1,1,16,4,1,0,
987437,Female,Medium Risk,Wallet,0.2266,Karak,14,2/5/2024 19:49,1.04,11,4.59,University Area,University Area,0,1,19,2,1,0,
990745,Male,High Risk,Cash,0.1929,Jerash,15,1/15/2024 14:49,1.62,24,8.4,Bus Station,City Center,0,1,14,1,1,0,
951542,Female,Medium Risk,Cash,0.1965,Zarqa,16,3/6/2024 17:05,2.25,34,11.45,City Center,Residential,1,1,17,3,3,0,
913203,Male,High Risk,Credit Card,0.3441,Aqaba,17,5/16/2024 11:10,6.39,26,18.57,Port Area,Port Area,0,1,11,5,4,0,
960405,Male,Medium Risk,Credit Card,0.2243,Irbid,18,2/16/2024 20:28,2.51,40,11.19,City Center,City Center,1,1,20,2,5,1,
954951,Male,High Risk,Cash,0.17,Amman,19,1/3/2024 14:49,2.28,29,13.41,Mall Area,Business District,0,1,14,1,3,0,
927431,Male,Medium Risk,Credit Card,0.1593,Irbid,20,2/13/2024 15:25,2.31,28,14.5,Bus Station,City Center,0,1,15,2,2,0,
975563,Female,Medium Risk,Credit Card,0.1696,Irbid,21,5/7/2024 8:32,2,34,11.79,City Center,University Area,1,1,8,5,2,0,
919565,Male,High Risk,Credit Card,0.1472,Amman,22,4/24/2024 19:09,3.23,86,21.94,Airport,Downtown,0,1,19,4,3,0,
911465,Male,Medium Risk,Wallet,0.2461,Madaba,23,4/25/2024 18:16,3.17,41,12.88,Tourist Area,Tourist Area,1,1,18,4,4,0,
989409,Female,High Risk,Cash,0.1468,Amman,24,4/16/2024 9:13,3,80,20.43,Airport,Business District,0,1,9,4,2,0,
917438,Male,Medium Risk,Cash,0.2025,Irbid,25,5/19/2024 7:01,1.94,32,9.58,City Center,University Area,1,1,7,5,7,0,
934897,Male,High Risk,Wallet,0.162,Karak,26,5/28/2024 18:46,1.86,36,11.48,City Center,City Center,1,1,18,5,2,0,
969436,Male,Medium Risk,Cash,0.2233,Amman,27,1/27/2024 8:28,3.33,45,14.91,Downtown,Mall Area,1,1,8,1,6,1,
952792,Male,High Risk,Cash,0.1619,Amman,28,3/26/2024 1:59,2.32,58,14.33,Airport,Mall Area,0,1,1,3,2,0,
912471,Female,High Risk,Cash,0.1837,Zarqa,29,5/17/2024 19:24,1.82,26,9.91,Residential,City Center,0,1,19,5,5,1,
936420,Female,High Risk,Cash,0.1187,Amman,30,1/15/2024 9:33,2.17,71,18.28,Airport,Mall Area,0,1,9,1,1,0,
950381,Male,Medium Risk,Credit Card,0.4087,Amman,31,2/2/2024 23:50,6.45,23,15.78,Business District,Mall Area,0,1,23,2,5,1,
964759,Male,Medium Risk,Credit Card,0.5305,Amman,32,1/29/2024 17:41,6.43,24,12.12,Business District,Mall Area,1,1,17,1,1,0,
916952,Female,High Risk,Cash,0.14,Amman,33,3/4/2024 8:01,4.34,120,31,Airport,Downtown,1,1,8,3,1,0,
975876,Female,High Risk,Wallet,0.2575,Amman,34,3/10/2024 7:55,2.5,33,9.71,Downtown,Downtown,1,1,7,3,7,0,
907828,Male,High Risk,Cash,0.2065,Amman,35,2/21/2024 12:58,2.54,28,12.3,Business District,Residential,0,1,12,2,3,0,
947004,Female,High Risk,Cash,0.1536,Amman,36,5/2/2024 18:43,3.58,100,23.3,Airport,Downtown,1,1,18,5,4,0,
997946,Female,Medium Risk,Cash,0.1786,Amman,37,4/17/2024 2:12,2.14,28,11.98,Downtown,Business District,0,1,2,4,3,0,
997969,Male,Medium Risk,Credit Card,0.1953,Amman,38,3/5/2024 10:50,2.97,33,15.21,Residential,Business District,0,1,10,3,2,0,
985569,Female,High Risk,Cash,0.191,Amman,39,1/13/2024 11:27,2.49,26,13.04,Residential,Downtown,0,1,11,1,6,1,
